[0.000000] (-) TimerEvent: {}
[0.000267] (-) JobUnselected: {'identifier': 'both_panda_moveit_config'}
[0.000320] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000398] (-) JobUnselected: {'identifier': 'dual_panda_moveit2'}
[0.000434] (-) JobUnselected: {'identifier': 'dual_panda_moveit2_interface'}
[0.000445] (-) JobUnselected: {'identifier': 'dynamixel_hardware_interface'}
[0.000453] (-) JobUnselected: {'identifier': 'dynamixel_interfaces'}
[0.000460] (-) JobUnselected: {'identifier': 'dynamixel_sdk'}
[0.000468] (-) JobUnselected: {'identifier': 'dynamixel_sdk_custom_interfaces'}
[0.000475] (-) JobUnselected: {'identifier': 'dynamixel_sdk_examples'}
[0.000482] (-) JobUnselected: {'identifier': 'dynamixel_test_utils'}
[0.000496] (-) JobUnselected: {'identifier': 'half_humanoid_control_actions'}
[0.000503] (-) JobUnselected: {'identifier': 'ik_pick_place'}
[0.000510] (-) JobUnselected: {'identifier': 'launch_param_builder'}
[0.000521] (-) JobUnselected: {'identifier': 'moveit'}
[0.000529] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000536] (-) JobUnselected: {'identifier': 'moveit_chomp_optimizer_adapter'}
[0.000544] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000552] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000560] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000568] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000576] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000584] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000591] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000599] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000606] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000614] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000622] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.000630] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.000637] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.000645] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.000653] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.000661] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000670] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000678] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000685] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000694] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000702] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000710] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000718] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000726] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000734] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000742] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.000749] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000758] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000766] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000774] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000782] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000790] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.000799] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.000807] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.000815] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.000824] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.000831] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.000841] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.000849] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.000857] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.000866] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.000923] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.000952] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.000961] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.000969] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.000977] (-) JobUnselected: {'identifier': 'myrobot_description'}
[0.000985] (-) JobUnselected: {'identifier': 'myrobot_moveit2'}
[0.000993] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.001002] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.001010] (-) JobUnselected: {'identifier': 'reachy_bringup'}
[0.001019] (-) JobUnselected: {'identifier': 'reachy_description'}
[0.001029] (-) JobUnselected: {'identifier': 'reachy_moveit2'}
[0.001037] (-) JobUnselected: {'identifier': 'reachy_moveit_config'}
[0.001046] (-) JobUnselected: {'identifier': 'rosparam_shortcuts'}
[0.001055] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.001063] (-) JobUnselected: {'identifier': 'srdfdom'}
[0.001074] (myrobot_moveit_config) JobQueued: {'identifier': 'myrobot_moveit_config', 'dependencies': OrderedDict([('launch_param_builder', '/home/kptal/humanoid_ws/install/launch_param_builder'), ('moveit_common', '/home/kptal/humanoid_ws/install/moveit_common'), ('moveit_resources_fanuc_description', '/home/kptal/humanoid_ws/install/moveit_resources_fanuc_description'), ('moveit_resources_panda_description', '/home/kptal/humanoid_ws/install/moveit_resources_panda_description'), ('moveit_resources_pr2_description', '/home/kptal/humanoid_ws/install/moveit_resources_pr2_description'), ('moveit_resources_prbt_support', '/home/kptal/humanoid_ws/install/moveit_resources_prbt_support'), ('myrobot_description', '/home/kptal/humanoid_ws/install/myrobot_description'), ('srdfdom', '/home/kptal/humanoid_ws/install/srdfdom'), ('moveit_configs_utils', '/home/kptal/humanoid_ws/install/moveit_configs_utils'), ('moveit_resources_fanuc_moveit_config', '/home/kptal/humanoid_ws/install/moveit_resources_fanuc_moveit_config'), ('moveit_resources_panda_moveit_config', '/home/kptal/humanoid_ws/install/moveit_resources_panda_moveit_config'), ('moveit_core', '/home/kptal/humanoid_ws/install/moveit_core'), ('chomp_motion_planner', '/home/kptal/humanoid_ws/install/chomp_motion_planner'), ('moveit_resources_prbt_ikfast_manipulator_plugin', '/home/kptal/humanoid_ws/install/moveit_resources_prbt_ikfast_manipulator_plugin'), ('moveit_ros_occupancy_map_monitor', '/home/kptal/humanoid_ws/install/moveit_ros_occupancy_map_monitor'), ('moveit_simple_controller_manager', '/home/kptal/humanoid_ws/install/moveit_simple_controller_manager'), ('pilz_industrial_motion_planner_testutils', '/home/kptal/humanoid_ws/install/pilz_industrial_motion_planner_testutils'), ('moveit_planners_chomp', '/home/kptal/humanoid_ws/install/moveit_planners_chomp'), ('moveit_ros_planning', '/home/kptal/humanoid_ws/install/moveit_ros_planning'), ('moveit_kinematics', '/home/kptal/humanoid_ws/install/moveit_kinematics'), ('moveit_planners_ompl', '/home/kptal/humanoid_ws/install/moveit_planners_ompl'), ('moveit_ros_robot_interaction', '/home/kptal/humanoid_ws/install/moveit_ros_robot_interaction'), ('moveit_ros_warehouse', '/home/kptal/humanoid_ws/install/moveit_ros_warehouse'), ('moveit_ros_move_group', '/home/kptal/humanoid_ws/install/moveit_ros_move_group'), ('moveit_resources_prbt_moveit_config', '/home/kptal/humanoid_ws/install/moveit_resources_prbt_moveit_config'), ('moveit_ros_planning_interface', '/home/kptal/humanoid_ws/install/moveit_ros_planning_interface'), ('moveit_resources_prbt_pg70_support', '/home/kptal/humanoid_ws/install/moveit_resources_prbt_pg70_support'), ('moveit_ros_visualization', '/home/kptal/humanoid_ws/install/moveit_ros_visualization'), ('moveit_setup_framework', '/home/kptal/humanoid_ws/install/moveit_setup_framework'), ('pilz_industrial_motion_planner', '/home/kptal/humanoid_ws/install/pilz_industrial_motion_planner'), ('moveit_planners', '/home/kptal/humanoid_ws/install/moveit_planners'), ('moveit_setup_app_plugins', '/home/kptal/humanoid_ws/install/moveit_setup_app_plugins'), ('moveit_setup_controllers', '/home/kptal/humanoid_ws/install/moveit_setup_controllers'), ('moveit_setup_core_plugins', '/home/kptal/humanoid_ws/install/moveit_setup_core_plugins'), ('moveit_setup_srdf_plugins', '/home/kptal/humanoid_ws/install/moveit_setup_srdf_plugins'), ('moveit_setup_assistant', '/home/kptal/humanoid_ws/install/moveit_setup_assistant')])}
[0.001116] (myrobot_moveit_config) JobStarted: {'identifier': 'myrobot_moveit_config'}
[0.099333] (-) TimerEvent: {}
[0.134844] (myrobot_moveit_config) JobProgress: {'identifier': 'myrobot_moveit_config', 'progress': 'cmake'}
[0.135443] (myrobot_moveit_config) JobProgress: {'identifier': 'myrobot_moveit_config', 'progress': 'build'}
