Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0037771,3.8856E-05,-0.17267,0,0,0,5.9028,0.22527,1.3971E-05,-0.004597,0.17962,8.0187E-06,0.082972,0,0,0,0,0,0,package://v2/meshes/base_link.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://v2/meshes/base_link.STL,,Torso Body 40x40 V-Slot Extrusion-1;Torso 40x40 V-Slot Extrusion-1;XM-430 1.4 GB-1;XM-430 1.4 GB-3;Torso.step-1;Head 40x40 V-Slot Extrusion-1;Head 40x40 Motor Mount-1;XM-430 Motor-13,GlobalCS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_shoulder_1,-0.0049822,0.013762,-0.058758,0,0,0,0.35875,0.0010442,2.4405E-07,-2.1271E-06,0.00047266,2.8119E-05,0.00089865,0,0,0,0,0,0,package://v2/meshes/right_shoulder_1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://v2/meshes/right_shoulder_1.STL,,2-Bend Clamp 1 Long-1;2-Bend Clamp 1 Long-2;Shoulder Upper Arm Clamp 3mm-1;Right shoulder.step-1,Origin_j11,Axis1,j11,revolute,0,-0.20624,-0.01225,1.5708,0,3.1416,base_link,0,0,-1,0,0,-1.571,1.571,,,,,,,,
right_shoulder_2,-6.7333E-05,-0.017813,-0.0026486,0,0,0,0.078897,2.497E-05,-6.2989E-09,1.2978E-09,1.4949E-05,2.1125E-06,2.569E-05,0,0,0,0,0,0,package://v2/meshes/right_shoulder_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://v2/meshes/right_shoulder_2.STL,,XM-430 1.4 GB-2;2-Bend Clamp 2 GB Modified-1,Origin_j12,Axis2,j12,revolute,0,0.00032462,-0.09703,-1.5708,-1.5702,1.5708,right_shoulder_1,0,0,1,0,0,-2.269,0.105,,,,,,,,
right_shoulder_3,0.000430538533339558,-0.10989484379475,0.00039376686451259,0,0,0,0.401304711733058,0.000940756478824968,1.37524263288344E-05,1.53360999683372E-05,0.000500470037667197,-4.6020152042414E-06,0.00103062975769565,0,0,0,0,0,0,package://v2/meshes/right_shoulder_3.STL,1,0.937254901960784,0.137254901960784,1,0,0,0,0,0,0,package://v2/meshes/right_shoulder_3.STL,,Upper Arm Extrusion Spacer-1;XM-430 Motor-1;Upper Arm Internal to Extursion Clamp-1;Upper Arm Internal to Extursion Clamp-2;Upper Arm to Elbow 20x20b Extrusion-1;Upper Arm Extrusion Spacer-2;Elbow Clamp 2mm-1;XM-430 Motor-2;Elbow Clamp 2mm-2;Right bicep.step-1,Origin_j13,Axis3,j13,revolute,-0.00019732,-0.055206,0.007975,0.0012787,1.5708,0,right_shoulder_2,0,1,-0.0012787,0,0,-1.571,1.571,,,,,,,,
right_elbow_1,-0.00792320324130652,0.0623876111862141,0.00257307538195969,0,0,0,0.164684761985467,0.000106256561260847,4.7039780929201E-06,-3.00035215103308E-06,0.00015728697133276,4.71524017711665E-07,0.000136959067816747,0,0,0,0,0,0,package://v2/meshes/right_elbow_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://v2/meshes/right_elbow_1.STL,,Elbow to Forearm Clamp 2mm-1;XM-430 Motor-3;2-Bend Clamp 1 2mm-1;HN12_N101 Horn-2;Right elbow.step-1,RightElbowCS,Axis4,j14,revolute,0.000100000000253023,-0.224696856366736,0,1.5707963267949,-1.56951766231018,1.5707963267949,right_shoulder_3,-1,0,0,0,0,-1.0472,1.309,,,,,,,,
right_elbow_2,0.000818776337657368,0.0816791783317226,-0.000857055152947176,0,0,0,0.237392410184954,0.00029631991266006,-1.52424559373505E-07,1.45928172280864E-07,0.000157802454768554,-2.71641904581851E-06,0.000298542787196087,0,0,0,0,0,0,package://v2/meshes/right_elbow_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://v2/meshes/right_elbow_2.STL,,2-Bend Clamp 2 2mm-1;Forearm 20x20 Extrusion-1;Elbow Clamp 2mm-5;XM-430 Motor-4;Upper Arm Extrusion Spacer-3;Upper Arm Extrusion Spacer-4;HN12_N101 Horn-3;Right forearm-2,Origin_j15,Axis5,j15,revolute,-1.8372E-05,0.10199,0.00019732,3.1416,0,3.1416,right_elbow_1,0,1,0,0,0,-1.57,1.57,,,,,,,,
right_wrist_1,-0.0036342,-0.022254,0.0036342,0,0,0,0.022594,5.0467E-06,-1.4016E-13,5.6982E-07,2.1464E-06,9.0054E-13,5.0143E-06,0,0,0,0,0,0,package://v2/meshes/right_wrist_1.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://v2/meshes/right_wrist_1.STL,,Wrist Clamp 2mm-2;Wrist Clamp 2mm-1;HN12_N101 Horn-4;HN12_N101 Horn-5,Coordinate System13,Axis6,j16,revolute,0.00033855,0.14765,0.00049732,0,0,3.141,right_elbow_2,-1,-0.00063933,0,0,0,-0.95993,1.5533,,,,,,,,
right_wrist_2,0.000439259067153863,-0.0569085161540607,-0.0025094715187342,0,0,0,0.202984986786786,0.000118675848405242,7.09790847457528E-08,7.42217450817559E-14,0.000142547035444907,2.12775473155962E-08,0.000116701102404344,0,0,0,0,0,0,package://v2/meshes/right_wrist_2.STL,0.6,0.6,0.6,1,0,0,0,0,0,0,package://v2/meshes/right_wrist_2.STL,,XM-430 Motor-5;Motor Clamp 1 MK2-1;Motor Clamp new MK2-1;XM-430 Motor-6;Slider MK-2-1,Origin_j17,Axis7,j17,revolute,0.00049464,-0.045,-0.00012732,0,0,0,right_wrist_1,0,0,1,0,0,-1.571,1.571,,,,,,,,
right_finger_1,-0.012884,0.03412,-0.010912,0,0,0,0.060902,4.8202E-05,-3.1741E-07,1.7041E-06,2.319E-05,3.4074E-06,3.6768E-05,0,0,0,0,0,0,package://v2/meshes/right_finger_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://v2/meshes/right_finger_1.STL,,Finger MK-2-1,Origin_f18,Axis8,f18,prismatic,-0.047229,-0.0798,0.0128,0,0,3.1416,right_wrist_2,-1,0,0,0,0,0,0.024,,,,,,,,
right_finger_2,-0.012884,0.03412,-0.010912,0,0,0,0.060902,4.8202E-05,-3.1741E-07,1.7041E-06,2.319E-05,3.4074E-06,3.6768E-05,0,0,0,0,0,0,package://v2/meshes/right_finger_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://v2/meshes/right_finger_2.STL,,Finger MK-2-2,Origin_f19,Axis8,f19,prismatic,0.048062,-0.0798,-0.0128,3.1416,0,0,right_wrist_2,1,0,0,0,0,-0.024,0,,,,,,,,
